OG0000462	BalsamFir102880, BalsamFir44482, BalsamFir74205, BalsamFir98376		FraserFir112888, FraserFir139663, FraserFir141560, FraserFir171433, FraserFir171908, FraserFir193799, FraserFir201129, FraserFir56259, FraserFir58235, FraserFir77367, FraserFir78949, FraserFir92227, FraserFir93448
OG0000484	BalsamFir70014		FraserFir121692, FraserFir126377, FraserFir140616, FraserFir144318, FraserFir147003, FraserFir151902, FraserFir160659, FraserFir178789, FraserFir181760, FraserFir199889, FraserFir35908, FraserFir39114, FraserFir58264, FraserFir5843, FraserFir6040, FraserFir96667
OG0000487	BalsamFir74953, BalsamFir78556, BalsamFir78901, BalsamFir79147, BalsamFir79238, BalsamFir80289, BalsamFir80361, BalsamFir80791, BalsamFir81049, BalsamFir81149, BalsamFir81581, BalsamFir82618, BalsamFir84327, BalsamFir85840, BalsamFir88019, BalsamFir91173		FraserFir163636
OG0000490	BalsamFir81714		FraserFir122274, FraserFir122330, FraserFir125331, FraserFir139916, FraserFir144340, FraserFir160232, FraserFir168182, FraserFir168811, FraserFir178039, FraserFir188481, FraserFir192775, FraserFir202761, FraserFir206123, FraserFir207269, FraserFir209879, FraserFir65532
OG0000534	BalsamFir14961, BalsamFir22777, BalsamFir23320, BalsamFir23407, BalsamFir23653, BalsamFir24442, BalsamFir24680, BalsamFir25000, BalsamFir25056, BalsamFir25135, BalsamFir25175, BalsamFir33049, BalsamFir33337, BalsamFir39131, BalsamFir47191		FraserFir99652
OG0000556	BalsamFir102853, BalsamFir103089, BalsamFir34377, BalsamFir46898, BalsamFir62594, BalsamFir73620		FraserFir121331, FraserFir133418, FraserFir144807, FraserFir178982, FraserFir182571, FraserFir203352, FraserFir206571, FraserFir209805, FraserFir55124, FraserFir56880
OG0000562	BalsamFir102394, BalsamFir38025, BalsamFir40998, BalsamFir41416, BalsamFir51275, BalsamFir63062, BalsamFir67905, BalsamFir73501, BalsamFir73599, BalsamFir78585, BalsamFir81222, BalsamFir84654, BalsamFir86391, BalsamFir89914, BalsamFir98982		FraserFir174625
OG0000574	BalsamFir44492		FraserFir21763, FraserFir28399, FraserFir29622, FraserFir32009, FraserFir32745, FraserFir35949, FraserFir42076, FraserFir46098, FraserFir47747, FraserFir48007, FraserFir50409, FraserFir54024, FraserFir70929, FraserFir74388, FraserFir91171
OG0000593	BalsamFir55828		FraserFir118729, FraserFir123247, FraserFir136591, FraserFir147107, FraserFir160453, FraserFir170436, FraserFir17849, FraserFir178697, FraserFir179685, FraserFir20655, FraserFir208006, FraserFir23644, FraserFir44697, FraserFir53576, FraserFir63026
OG0000612	BalsamFir72172, BalsamFir84980		FraserFir103953, FraserFir12914, FraserFir139186, FraserFir139958, FraserFir145585, FraserFir152306, FraserFir154131, FraserFir183294, FraserFir189463, FraserFir195481, FraserFir50044, FraserFir5736, FraserFir82229, FraserFir97899
OG0000615	BalsamFir76182		FraserFir129947, FraserFir135383, FraserFir136744, FraserFir158299, FraserFir158586, FraserFir168435, FraserFir175693, FraserFir181243, FraserFir191095, FraserFir194523, FraserFir198258, FraserFir202455, FraserFir203019, FraserFir204387, FraserFir204543
OG0000730	BalsamFir28142, BalsamFir32204, BalsamFir34079, BalsamFir38680, BalsamFir46355, BalsamFir48776, BalsamFir55168, BalsamFir67932, BalsamFir68537, BalsamFir80219, BalsamFir81855, BalsamFir94467, BalsamFir96033, BalsamFir99926		FraserFir189405
OG0000731	BalsamFir28149, BalsamFir29876		FraserFir106895, FraserFir117854, FraserFir123651, FraserFir145545, FraserFir150267, FraserFir160152, FraserFir172955, FraserFir178175, FraserFir180162, FraserFir200589, FraserFir206680, FraserFir76922, FraserFir93701
OG0000744	BalsamFir32811		FraserFir100085, FraserFir112992, FraserFir115136, FraserFir120768, FraserFir159278, FraserFir168258, FraserFir178621, FraserFir77297, FraserFir78206, FraserFir81273, FraserFir90005, FraserFir95648, FraserFir96484, FraserFir99911
OG0000782	BalsamFir51681		FraserFir119582, FraserFir120026, FraserFir123552, FraserFir135926, FraserFir148364, FraserFir165786, FraserFir167037, FraserFir169167, FraserFir176231, FraserFir180799, FraserFir203375, FraserFir204791, FraserFir207459, FraserFir83318
OG0000788	BalsamFir53674, BalsamFir68362, BalsamFir99175		FraserFir108526, FraserFir115288, FraserFir185228, FraserFir194723, FraserFir202296, FraserFir88148, FraserFir89021, FraserFir90842, FraserFir91798, FraserFir93711, FraserFir99342, FraserFir99484
OG0000804	BalsamFir65110		FraserFir110054, FraserFir112918, FraserFir116892, FraserFir54589, FraserFir59343, FraserFir60719, FraserFir63356, FraserFir63899, FraserFir65254, FraserFir69613, FraserFir74236, FraserFir78172, FraserFir86363, FraserFir94719
OG0000817	BalsamFir75414		FraserFir120527, FraserFir134447, FraserFir135777, FraserFir149520, FraserFir190107, FraserFir191886, FraserFir194981, FraserFir199027, FraserFir83717, FraserFir85759, FraserFir86002, FraserFir87037, FraserFir87179, FraserFir90625
OG0000821	BalsamFir83344		FraserFir112809, FraserFir114796, FraserFir134615, FraserFir152517, FraserFir160685, FraserFir190128, FraserFir193652, FraserFir196677, FraserFir196918, FraserFir208358, FraserFir23375, FraserFir36993, FraserFir52232, FraserFir73899
OG0000824	BalsamFir89439		FraserFir113618, FraserFir142811, FraserFir146849, FraserFir154420, FraserFir155396, FraserFir157493, FraserFir176912, FraserFir184771, FraserFir189054, FraserFir198237, FraserFir21893, FraserFir31988, FraserFir35435, FraserFir47597
OG0000828	BalsamFir100129, BalsamFir99369		FraserFir112245, FraserFir125600, FraserFir125823, FraserFir132635, FraserFir154199, FraserFir173435, FraserFir180727, FraserFir193293, FraserFir40382, FraserFir41385, FraserFir55664, FraserFir59061, FraserFir60916
OG0000946	BalsamFir26737		FraserFir121607, FraserFir122220, FraserFir134720, FraserFir150096, FraserFir156442, FraserFir162676, FraserFir177867, FraserFir187070, FraserFir201851, FraserFir56010, FraserFir56428, FraserFir60591, FraserFir73680
OG0000992	BalsamFir38858, BalsamFir83831, BalsamFir84774		FraserFir101456, FraserFir102585, FraserFir161089, FraserFir164478, FraserFir184868, FraserFir198701, FraserFir199390, FraserFir204132, FraserFir61715, FraserFir65217, FraserFir81605
OG0001008	BalsamFir101845, BalsamFir47718, BalsamFir71458, BalsamFir87374		FraserFir149451, FraserFir161126, FraserFir166909, FraserFir173409, FraserFir176898, FraserFir193552, FraserFir200757, FraserFir32646, FraserFir33938, FraserFir68283
OG0001009	BalsamFir103097, BalsamFir47873, BalsamFir77595		FraserFir100980, FraserFir105021, FraserFir126647, FraserFir159730, FraserFir165424, FraserFir168625, FraserFir173567, FraserFir208115, FraserFir28665, FraserFir6947, FraserFir79529
OG0001018	BalsamFir102445, BalsamFir50149, BalsamFir51369, BalsamFir59502, BalsamFir62296, BalsamFir84944		FraserFir100253, FraserFir100729, FraserFir103278, FraserFir104200, FraserFir105475, FraserFir108672, FraserFir109102, FraserFir131137
OG0001043	BalsamFir65294		FraserFir102373, FraserFir133504, FraserFir141139, FraserFir149818, FraserFir151982, FraserFir169083, FraserFir190228, FraserFir193139, FraserFir193886, FraserFir204049, FraserFir64079, FraserFir64919, FraserFir81140
OG0001051	BalsamFir69806		FraserFir107481, FraserFir142533, FraserFir146344, FraserFir170698, FraserFir170976, FraserFir171250, FraserFir181160, FraserFir182117, FraserFir187073, FraserFir196773, FraserFir204153, FraserFir205632, FraserFir92232
OG0001055	BalsamFir72033, BalsamFir80822		FraserFir121709, FraserFir127541, FraserFir132152, FraserFir147317, FraserFir149429, FraserFir166368, FraserFir191171, FraserFir194551, FraserFir205617, FraserFir205654, FraserFir22271, FraserFir89444
OG0001056	BalsamFir72199		FraserFir125774, FraserFir133833, FraserFir138023, FraserFir139370, FraserFir151186, FraserFir152956, FraserFir178590, FraserFir184560, FraserFir194464, FraserFir199838, FraserFir205703, FraserFir86319, FraserFir88670
OG0001062	BalsamFir77124		FraserFir124521, FraserFir136377, FraserFir141769, FraserFir143212, FraserFir143396, FraserFir143984, FraserFir170217, FraserFir175398, FraserFir180754, FraserFir194617, FraserFir202753, FraserFir209016, FraserFir96382
OG0001064	BalsamFir78364, BalsamFir87179, BalsamFir87328, BalsamFir90868, BalsamFir95705		FraserFir100643, FraserFir101235, FraserFir133981, FraserFir134975, FraserFir166824, FraserFir166893, FraserFir189150, FraserFir204309, FraserFir73978
OG0001067	BalsamFir80242, BalsamFir93600		FraserFir101712, FraserFir107387, FraserFir111378, FraserFir119902, FraserFir160595, FraserFir161342, FraserFir161759, FraserFir174188, FraserFir184974, FraserFir192214, FraserFir208412, FraserFir47501
OG0001083	BalsamFir101453		FraserFir101375, FraserFir102222, FraserFir109822, FraserFir110765, FraserFir116193, FraserFir120538, FraserFir122596, FraserFir122638, FraserFir124569, FraserFir128253, FraserFir152087, FraserFir92669, FraserFir96689
OG0001217	BalsamFir23019		FraserFir10423, FraserFir11146, FraserFir13479, FraserFir13597, FraserFir25349, FraserFir27202, FraserFir27788, FraserFir28724, FraserFir28743, FraserFir32493, FraserFir32643, FraserFir36104
OG0001219	BalsamFir23626, BalsamFir34237, BalsamFir54207, BalsamFir57424, BalsamFir69734, BalsamFir76290, BalsamFir81954, BalsamFir82499, BalsamFir86276, BalsamFir96791, BalsamFir97373		FraserFir150815, FraserFir22214
OG0001229	BalsamFir27098, BalsamFir32386, BalsamFir32632, BalsamFir44014, BalsamFir59088		FraserFir107580, FraserFir47252, FraserFir48773, FraserFir56588, FraserFir58634, FraserFir91006, FraserFir94878, FraserFir99397
OG0001271	BalsamFir35433		FraserFir11780, FraserFir14348, FraserFir21145, FraserFir22686, FraserFir35628, FraserFir39721, FraserFir45591, FraserFir6730, FraserFir6784, FraserFir7556, FraserFir7851, FraserFir9239
OG0001275	BalsamFir100611, BalsamFir36424, BalsamFir37071, BalsamFir50892, BalsamFir53933, BalsamFir70291, BalsamFir73330, BalsamFir79040, BalsamFir88989, BalsamFir93829, BalsamFir94073, BalsamFir98506		FraserFir73562
OG0001289	BalsamFir39458		FraserFir112798, FraserFir114279, FraserFir129658, FraserFir153772, FraserFir166617, FraserFir171909, FraserFir66910, FraserFir69376, FraserFir74094, FraserFir83051, FraserFir87279, FraserFir93525
OG0001296	BalsamFir40620, BalsamFir82341, BalsamFir83498, BalsamFir88390, BalsamFir93521, BalsamFir94988, BalsamFir95044		FraserFir107869, FraserFir148634, FraserFir173315, FraserFir185688, FraserFir189868, FraserFir51121
OG0001313	BalsamFir44791, BalsamFir70338, BalsamFir86101		FraserFir104768, FraserFir138560, FraserFir142119, FraserFir161091, FraserFir190675, FraserFir197093, FraserFir199895, FraserFir31577, FraserFir34951, FraserFir38702
OG0001335	BalsamFir53931		FraserFir106786, FraserFir130946, FraserFir143032, FraserFir154012, FraserFir166929, FraserFir167950, FraserFir187675, FraserFir38571, FraserFir40334, FraserFir47251, FraserFir78042, FraserFir90102
